rozmiar,insert,extract,peek,modify,rozmiarOp
1000,20.42,89,2.64,669.18,1.8266
2000,33.78,87.9,1.82,614.06,2.1608
5000,51.332,67.36,1.84,3486.06,1.95
10000,37.096,105.02,1.8,1433.9,1.6756
20000,46.913,117.3,1.82,2043.16,11.437
50000,38.198,325.34,1.82,3116.8,1.8898
100000,62.9816,595.52,1.86,1606.72,2.2026
